x,y,conc
527780,187480,21.58452
527800,187480,21.6214
527820,187480,21.67029
527840,187480,21.71972
527860,187480,21.76987
527880,187480,21.82751
527900,187480,21.8856
527920,187480,21.94228
527940,187480,22.01746
527960,187480,22.46305
527980,187480,22.20717
528000,187480,22.25021
528020,187480,22.32044
528040,187480,22.46796
528060,187480,22.58368
528080,187480,22.65594
528100,187480,22.84228
528120,187480,22.91768
528140,187480,23.07388
528160,187480,23.5403
528180,187480,23.66428
526760,187460,24.10857
526780,187460,23.07624
526800,187460,22.45042
526820,187460,22.20315
526840,187460,22.00573
526860,187460,21.90673
526880,187460,21.6588
526900,187460,21.75716
526920,187460,21.56482
526940,187460,21.47324
526960,187460,21.44797
526980,187460,21.44657
527000,187460,21.44686
527020,187460,21.49622
527040,187460,21.49089
527060,187460,21.50791
527080,187460,21.73928
527100,187460,21.47486
527120,187460,21.38276
527140,187460,21.38092
527160,187460,21.41235
527180,187460,21.48643
527200,187460,21.55128
527220,187460,21.82655
527240,187460,21.47465
527260,187460,21.42706
527280,187460,21.44812
527300,187460,21.49359
527320,187460,21.3757
527340,187460,21.31768
527360,187460,21.29752
527380,187460,21.28481
527400,187460,21.2758
527420,187460,21.26829
527440,187460,21.2616
527460,187460,21.25663
527480,187460,21.25319
527500,187460,21.25058
527520,187460,21.25014
527540,187460,21.2507
527560,187460,21.25584
527580,187460,21.26205
527600,187460,21.27148
527620,187460,21.28405
527640,187460,21.3
527660,187460,21.3189
527680,187460,21.33915
527700,187460,21.36157
527720,187460,21.38521
527740,187460,21.40992
527760,187460,21.43384
527780,187460,21.45831
527800,187460,21.48388
527820,187460,21.51919
527840,187460,21.55203
527860,187460,21.58298
527880,187460,21.61841
527900,187460,21.65472
527920,187460,21.69284
527940,187460,21.75234
527960,187460,21.95121
527980,187460,21.92465
528000,187460,21.90103
528020,187460,21.92521
528040,187460,21.96967
528060,187460,22.01799
528080,187460,22.06581
528100,187460,22.11895
528120,187460,22.17288
528140,187460,22.24396
528160,187460,22.3366
528180,187460,22.44839
528200,187460,22.86891
528220,187460,22.78497
528240,187460,22.8899
528260,187460,23.13034
528280,187460,23.64791
528300,187460,25.06819
526740,187440,24.00107
526760,187440,22.82646
526780,187440,22.33217
526800,187440,22.11622
526820,187440,21.85563
526840,187440,21.73688
526860,187440,21.62383
526880,187440,21.54905
526900,187440,21.50188
526920,187440,21.60681
526940,187440,21.65059
526960,187440,21.53746
526980,187440,21.49179
527000,187440,21.43606
527020,187440,21.45536
527040,187440,21.54778
527060,187440,21.56168
527080,187440,21.45113
527100,187440,21.4007
527120,187440,21.40453
527140,187440,21.43597
527160,187440,21.68556
527180,187440,21.71647
527200,187440,21.80726
527220,187440,21.52628
527240,187440,21.39094
527260,187440,21.35682
527280,187440,21.40337
527300,187440,21.67701
527320,187440,21.34351
527340,187440,21.29026
527360,187440,21.27078
527380,187440,21.2588
527400,187440,21.2511
527420,187440,21.24509
527440,187440,21.24003
527460,187440,21.2368
527480,187440,21.23545
527500,187440,21.23449
527520,187440,21.23552
527540,187440,21.2371
527560,187440,21.24269
527580,187440,21.24885
527600,187440,21.25678
527620,187440,21.26675
527640,187440,21.27874
527660,187440,21.2925
527680,187440,21.30665
527700,187440,21.32261
527720,187440,21.33965
527740,187440,21.35748
527760,187440,21.37571
527780,187440,21.39517
527800,187440,21.41531
527820,187440,21.44487
527840,187440,21.47108
527860,187440,21.49465
527880,187440,21.52251
527900,187440,21.55159
527920,187440,21.5823
527940,187440,21.62266
527960,187440,21.69032
527980,187440,22.16957
528000,187440,21.8492
528020,187440,21.79185
528040,187440,21.81472
528060,187440,21.84744
528080,187440,21.88282
528100,187440,21.92128
528120,187440,21.96331
528140,187440,22.01495
528160,187440,22.08169
528180,187440,22.17497
528200,187440,22.55859
528220,187440,22.4505
528240,187440,22.56904
528260,187440,22.85174
528280,187440,23.43909
528300,187440,25.0979
528320,187440,33.75429
526720,187420,24.27833
526740,187420,22.90193
526760,187420,22.33473
526780,187420,22.03261
526800,187420,21.84472
526820,187420,21.70939
526840,187420,21.611
526860,187420,21.5369
526880,187420,21.48201
526900,187420,21.44301
526920,187420,21.42203
526940,187420,21.42006
526960,187420,21.38351
526980,187420,21.378
527000,187420,21.37116
527020,187420,21.38002
527040,187420,21.43578
527060,187420,21.746
527080,187420,21.4294
527100,187420,21.57972
527120,187420,21.86258
527140,187420,21.44701
527160,187420,21.38504
527180,187420,21.37539
527200,187420,21.38571
527220,187420,21.68414
527240,187420,21.36264
527260,187420,21.33074
527280,187420,21.35508
527300,187420,21.6543
527320,187420,21.3264
527340,187420,21.27492
527360,187420,21.25588
527380,187420,21.24472
527400,187420,21.23788
527420,187420,21.23296
527440,187420,21.22897
527460,187420,21.22703
527480,187420,21.22661
527500,187420,21.22684
527520,187420,21.22862
527540,187420,21.23091
527560,187420,21.23666
527580,187420,21.24284
527600,187420,21.24982
527620,187420,21.25823
527640,187420,21.26804
527660,187420,21.2791
527680,187420,21.2901
527700,187420,21.30263
527720,187420,21.3164
527740,187420,21.33094
527760,187420,21.34585
527780,187420,21.36241
527800,187420,21.37981
527820,187420,21.40653
527840,187420,21.42942
527860,187420,21.44978
527880,187420,21.47446
527900,187420,21.50036
527920,187420,21.52686
527940,187420,21.55966
527960,187420,21.60912
527980,187420,21.75068
528000,187420,21.99451
528020,187420,21.80702
528040,187420,21.82335
528060,187420,21.8557
528080,187420,21.8827
528100,187420,21.91523
528120,187420,21.94891
528140,187420,21.96834
528160,187420,22.02815
528180,187420,22.10855
528200,187420,22.47937
528220,187420,22.36372
528240,187420,22.50467
528260,187420,22.88614
528280,187420,24.03535
528300,187420,34.83902
528320,187420,25.45159
528340,187420,24.8148
528360,187420,29.15811
526700,187400,25.30126
526720,187400,23.11301
526740,187400,22.42364
526760,187400,22.07951
526780,187400,21.8653
526800,187400,21.72287
526820,187400,21.62105
526840,187400,21.54511
526860,187400,21.48726
526880,187400,21.4437
526900,187400,21.41201
526920,187400,21.38992
526940,187400,21.37331
526960,187400,21.36146
526980,187400,21.35854
527000,187400,21.36104
527020,187400,21.39519
527040,187400,21.42905
527060,187400,21.89655
527080,187400,21.75846
527100,187400,21.40938
527120,187400,21.34643
527140,187400,21.32479
527160,187400,21.3094
527180,187400,21.30007
527200,187400,21.32745
527220,187400,21.61207
527240,187400,21.3736
527260,187400,21.32431
527280,187400,21.39861
527300,187400,21.65462
527320,187400,21.33029
527340,187400,21.26708
527360,187400,21.2482
527380,187400,21.23764
527400,187400,21.23166
527420,187400,21.22757
527440,187400,21.2243
527460,187400,21.22327
527480,187400,21.22374
527500,187400,21.22458
527520,187400,21.22681
527540,187400,21.22934
527560,187400,21.23535
527580,187400,21.24177
527600,187400,21.24802
527620,187400,21.25558
527640,187400,21.26401
527660,187400,21.27335
527680,187400,21.28266
527700,187400,21.29343
527720,187400,21.30531
527740,187400,21.31818
527760,187400,21.33101
527780,187400,21.34596
527800,187400,21.36181
527820,187400,21.38674
527840,187400,21.40815
527860,187400,21.42695
527880,187400,21.44994
527900,187400,21.47427
527920,187400,21.49868
527940,187400,21.52761
527960,187400,21.56419
527980,187400,21.60719
528000,187400,21.66298
528020,187400,21.76814
528040,187400,21.97158
528060,187400,21.81145
528080,187400,21.82919
528100,187400,21.86048
528120,187400,21.9072
528140,187400,22.15305
528160,187400,22.2222
528180,187400,22.35665
528200,187400,22.73325
528220,187400,22.36311
528240,187400,22.54364
528260,187400,23.04618
528280,187400,25.06676
528300,187400,29.21248
528320,187400,24.28729
528340,187400,23.69433
528360,187400,23.88074
528380,187400,24.03205
528400,187400,26.81476
528420,187400,33.33487
526700,187380,23.71815
526720,187380,22.61317
526740,187380,22.18347
526760,187380,21.94671
526780,187380,21.76323
526800,187380,21.64758
526820,187380,21.56513
526840,187380,21.50309
526860,187380,21.45577
526880,187380,21.42062
526900,187380,21.39514
526920,187380,21.37841
526940,187380,21.3694
526960,187380,21.36331
526980,187380,21.43106
527000,187380,21.40469
527020,187380,21.84269
527040,187380,21.65033
527060,187380,21.39657
527080,187380,21.34843
527100,187380,21.31834
527120,187380,21.29623
527140,187380,21.28493
527160,187380,21.27993
527180,187380,21.27363
527200,187380,21.29201
527220,187380,21.55844
527240,187380,21.39926
527260,187380,21.32154
527280,187380,21.34052
527300,187380,21.63957
527320,187380,21.31256
527340,187380,21.26357
527360,187380,21.24576
527380,187380,21.23619
527400,187380,21.23069
527420,187380,21.22731
527440,187380,21.22464
527460,187380,21.22419
527480,187380,21.22516
527500,187380,21.22647
527520,187380,21.22907
527540,187380,21.23188
527560,187380,21.23777
527580,187380,21.24448
527600,187380,21.25046
527620,187380,21.25729
527640,187380,21.26485
527660,187380,21.27337
527680,187380,21.28165
527700,187380,21.29123
527720,187380,21.30225
527740,187380,21.31416
527760,187380,21.32587
527780,187380,21.33958
527800,187380,21.35449
527820,187380,21.37845
527840,187380,21.39893
527860,187380,21.41691
527880,187380,21.43944
527900,187380,21.46315
527920,187380,21.48671
527940,187380,21.51417
527960,187380,21.54664
527980,187380,21.58405
528000,187380,21.63541
528020,187380,21.9515
528040,187380,21.74375
528060,187380,21.71796
528080,187380,21.73475
528100,187380,21.76428
528120,187380,21.80494
528140,187380,21.86038
528160,187380,21.93308
528180,187380,22.04273
528200,187380,22.45221
528220,187380,22.39638
528240,187380,22.66101
528260,187380,23.40819
528280,187380,34.38768
528300,187380,24.65976
528320,187380,23.56751
528340,187380,23.15067
528360,187380,22.97942
528380,187380,23.16802
528400,187380,23.65346
528420,187380,24.28437
528440,187380,31.16254
528460,187380,27.18634
528480,187380,30.14544
526680,187360,25.53578
526700,187360,23.01417
526720,187360,22.34303
526740,187360,22.15307
526760,187360,21.86484
526780,187360,21.6983
526800,187360,21.59825
526820,187360,21.52818
526840,187360,21.47587
526860,187360,21.43659
526880,187360,21.40818
526900,187360,21.3899
526920,187360,21.3837
526940,187360,21.42592
526960,187360,21.40406
526980,187360,21.55533
527000,187360,21.47981
527020,187360,21.38273
527040,187360,21.34943
527060,187360,21.32087
527080,187360,21.2993
527100,187360,21.28407
527120,187360,21.27412
527140,187360,21.26797
527160,187360,21.26548
527180,187360,21.26
527200,187360,21.27722
527220,187360,21.36358
527240,187360,21.40329
527260,187360,21.32553
527280,187360,21.34577
527300,187360,21.64684
527320,187360,21.32506
527340,187360,21.26465
527360,187360,21.2471
527380,187360,21.23854
527400,187360,21.23394
527420,187360,21.23119
527440,187360,21.22925
527460,187360,21.22929
527480,187360,21.2309
527500,187360,21.23241
527520,187360,21.23529
527540,187360,21.238
527560,187360,21.2441
527580,187360,21.25099
527600,187360,21.25664
